Timestamp,Latency,Jitter
22:08:55,0.5917,0
22:08:55,1.7989,1.2072
22:08:56,0.0025,1.7964
22:08:57,0.002,0.0005
22:08:58,0.002,0.0
22:08:59,0.0015,0.0005
22:09:08,0.004,0.0025
22:09:09,0.002,0.002
22:09:10,0.0015,0.0005
22:09:11,0.002,0.0005
22:09:12,0.0021,0.0001
22:09:13,0.002,0.0001
22:09:14,0.0025,0.0005
22:09:15,0.002,0.0005
22:09:17,0.002,0.0
22:09:20,0.0015,0.0005
22:09:22,0.002,0.0005
22:09:24,0.0032,0.0012
22:09:25,0.002,0.0012
22:09:27,0.002,0.0
22:09:28,0.001,0.001
22:09:31,0.004,0.003
22:09:32,0.002,0.002
22:09:33,0.002,0.0
22:09:34,0.0021,0.0001
22:09:35,0.002,0.0001
22:09:36,0.0015,0.0005
22:09:37,0.002,0.0005
22:09:38,0.0021,0.0001
22:09:39,0.002,0.0001
22:09:40,0.002,0.0
22:09:41,0.0015,0.0005
22:09:42,0.002,0.0005
22:09:43,0.0015,0.0005
22:09:44,0.002,0.0005
22:09:45,0.002,0.0
22:09:46,0.002,0.0
22:09:47,0.0015,0.0005
22:09:48,0.0021,0.0006
22:09:49,0.0015,0.0006
22:09:50,0.0021,0.0006
22:09:51,0.0022,0.0001
22:09:52,0.0013,0.0009
22:09:53,0.002,0.0007
22:09:54,0.0025,0.0005
22:09:55,0.0015,0.001
22:09:56,0.002,0.0005
22:09:57,0.002,0.0
22:09:58,0.002,0.0
22:09:59,0.002,0.0
22:10:00,0.002,0.0
22:10:01,0.002,0.0
22:10:02,0.001,0.001
22:10:03,0.002,0.001
22:10:04,0.0015,0.0005
22:10:05,0.0025,0.001
22:10:06,0.0015,0.001
22:10:07,0.002,0.0005
22:10:08,0.0015,0.0005
22:10:09,0.0016,0.0001
22:10:10,0.002,0.0004
22:10:11,0.002,0.0
22:10:12,0.0015,0.0005
22:10:13,0.0015,0.0
22:10:14,0.0015,0.0
22:10:15,0.002,0.0005
22:10:16,0.002,0.0
22:10:17,0.001,0.001
